Title,Release_Date,Expired_Date,Activity_Code,Parent_Organization,Organization,Participating_Orgs,Document_Number,Document_Type,Clinical_Trials,URL
"Shared Instrumentation Grant (SIG) Program (S10 Clinical Trial Not Allowed)","10/29/2024","6/2/2027","S10","NIH","ORIP","NEI, NIA, NIBIB, NIGMS, NIMH","PAR-24-265","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-265.html"
"High-End Instrumentation (HEI) Grant Program (S10 Clinical Trial Not Allowed)","10/29/2024","6/2/2027","S10","NIH","ORIP","NIBIB, NIGMS","PAR-24-264","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-264.html"
"Limited Competition: Basic Instrumentation Grant (BIG) Program (S10 Clinical Trial Not Allowed)","10/29/2024","6/2/2027","S10","NIH","ORIP","NIGMS","PAR-24-326","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-326.html"
"Pilot Projects Investigating Understudied Proteins Associated with Rare Diseases (R03 Clinical Trial Not Allowed)","10/28/2024","11/17/2027","R03","NIH","NCATS","NIAID, NIDCD, NIDCR, NIMH, NINDS","PAR-25-122","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-122.html"
"Development of Biomarkers or Composite Biomarkers for Neurological and Neuromuscular Disorders (R61/R33 - Clinical Trial Optional)","10/28/2024","1/8/2028","R61/R33","NIH","NINDS","None","PAR-25-024","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-024.html"
"Limited Competition: Renewal of Existing NINDS-Supported Clinical Trial Cooperative Agreement Awards (U01 - Clinical Trials Required)","10/28/2024","11/6/2027","U01","NIH","NINDS","None","PAR-25-149","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-149.html"
"Implementation Research for Multi-morbidity Management in the Context of Non-communicable Diseases in Low- and Middle-Income Countries and US Tribal Populations  (R61/R33 Clinical Trial Required)","10/25/2024","1/8/2026","R61/R33","NIH","FIC","NHLBI, NIMH, ORWH","PAR-25-223","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-223.html"
"Implementation Research for Multi-morbidity Management in the Context of Non-communicable Diseases in Low- and Middle-Income Countries and US Tribal Populations  (R01 Clinical Trial Optional)","10/25/2024","1/8/2026","R01","NIH","FIC","NCI, NEI, NHLBI, NIA, NICHD, NIMH, NINDS, ORWH","PAR-25-213","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-213.html"
"Development of Resources and Technologies for Enhancing Rigor, Reproducibility, and Translatability of Animal Models in Biomedical Research (R01 Clinical Trial Not Allowed)","10/25/2024","9/8/2025","R01","NIH","ORIP","None","PAR-25-076","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-076.html"
"The Metastasis Research Network (MetNet): MetNet Research Projects (U01 Clinical Trial Not Allowed)","10/25/2024","6/21/2025","U01","NIH","NCI","None","PAR-25-130","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-130.html"
"NIDCR Drug, Biologic, Device and/or Procedure Intervention Clinical Trial Planning and Implementation Cooperative Agreement (UG3/UH3 Clinical Trial Required)","10/23/2024","1/7/2028","UG3/UH3","NIH","NIDCR","None","PAR-25-057","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-057.html"
"BRAIN Initiative: Brain Behavior Quantification and Synchronization- Next Generation Sensor Technology Development (U01 Clinical Trial Optional)","10/23/2024","6/16/2027","U01","NIH","NIMH","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NINDS, OBSSR","RFA-MH-26-140","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-140.html"
"Innovation Grants to Nurture Initial Translational Efforts (IGNITE): Assay Development and Neurotherapeutic Agent Identification (R61/R33 Clinical Trial Not Allowed)","10/22/2024","10/21/2027","R61/R33","NIH","NINDS","None","PAR-25-059","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-059.html"
"Innovation Grants to Nurture Initial Translational Efforts (IGNITE):  Development and Validation of Model Systems to Facilitate Neurotherapeutic Discovery (R61/R33 Clinical Trial Not Allowed)","10/22/2024","10/21/2027","R61/R33","NIH","NINDS","None","PAR-25-060","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-060.html"
"NIDCD Early Career Research(ECR) Award (R21 Clinical Trial Optional)","10/18/2024","10/16/2027","R21","NIH","NIDCD","None","PAR-25-120","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-120.html"
"NCI Small Grants Program for Cancer Research (NCI Omnibus) (R03 Clinical Trial Optional)","10/18/2024","1/8/2026","R03","NIH","NCI","None","PAR-25-078","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-078.html"
"Towards a Better Understanding of the Neurological Effects of Infection-Associated Chronic Illnesses (R21 - Clinical Trial Optional)","10/17/2024","11/17/2025","R21","NIH","NINDS","NIMH, OD","PAR-25-115","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-115.html"
"Towards a Better Understanding of the Neurological Effects of Infection-Associated Chronic Illnesses (R01 - Clinical Trial Optional)","10/17/2024","11/6/2025","R01","NIH","NINDS","NIMH, OD","PAR-25-116","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-116.html"
"Data Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Mind and Body Interventions (Collaborative U24 Clinical Trial Required)","10/15/2024","7/15/2026","U24","NIH","NCCIH","None","PAR-24-276","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-276.html"
"Clinical Coordinating Center for NCCIH Multi-Site Investigator-Initiated Clinical Trials of Mind and Body Interventions (Collaborative UG3/UH3 Clinical Trial Required)","10/15/2024","7/15/2026","UG3/UH3","NIH","NCCIH","None","PAR-24-275","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-275.html"
"Emerging Global Leader Award (K43 Independent Clinical Trial Required)","10/15/2024","12/4/2026","K43","NIH","FIC","NCI, NHGRI, NHLBI, NIA, NIDA, NIDCD, NIEHS, NIMH, NINDS, ORWH","PAR-24-295","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-295.html"
"Emerging Global Leader Award (K43 Independent Clinical Trial Not Allowed)","10/15/2024","12/4/2026","K43","NIH","FIC","NCI, NEI, NHGRI, NHLBI, NIA, NIDA, NIDCD, NIDCR, NIEHS, NIMH, NINDS, ORWH","PAR-24-296","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-296.html"
"Assay Validation of High Quality Markers for Clinical Studies in Cancer (UH2/UH3 Clinical Trial Not Allowed)","10/15/2024","10/15/2026","UH2/UH3","NIH","NCI","None","PAR-25-074","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-074.html"
"Assay Validation of High Quality Markers for Clinical Studies in Cancer (UH3 Clinical Trials Not Allowed)","10/15/2024","10/15/2026","UH3","NIH","NCI","None","PAR-25-075","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-075.html"
"Continuation or Revision of NIDCR Clinical Trial Planning and Implementation Cooperative Agreement (UH3 Clinical Trial Required)","10/10/2024","1/7/2028","UH3","NIH","NIDCR","None","PAR-25-062","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-062.html"
"Interventions to expand cancer screening and preventive services to ADVANCE health in populations that experience health disparities (R01, Clinical Trial Required)","10/10/2024","1/8/2027","R01","NIH","ODP","NCI, NIDCR, NIMHD, ORWH","PAR-25-098","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-25-098.html"
"Revision Applications for Validation of Biomarker Assays Developed Through NIH-Supported Research Grants (R01 Clinical Trial Not Allowed)","10/10/2024","10/15/2026","R01","NIH","NCI","None","PAR-24-304","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-304.html"
"Occupational Safety and Health Education and Research Centers (T42)","10/9/2024","10/30/2028","T42","CDC","NIOSH","None","RFA-OH-25-002","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OH-25-002.html"
"Limited Competition: CCRP Initiative: Promoting a Basic Understanding of Chemical Threats to Skin (R34 Clinical Trial Not Allowed)","10/4/2024","1/8/2028","R34","NIH","NIAMS","NIAID","PA-25-093","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-093.html"
"Research Experiences and/or Mentoring Networks through Research Education to Enhance Clinician-Scientists' Participation in NIDCDs Research (R25 Clinical Trial Not Allowed)","10/2/2024","9/30/2027","R25","NIH","NIDCD","None","PAR-25-020","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-020.html"
"Analytical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders(U01 Clinical Trial Optional)","10/2/2024","6/23/2026","U01","NIH","NINDS","None","PAR-25-050","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-050.html"
"Clinical Validation of a Candidate Biomarker for Neurological or Neuromuscular Disorders (U01 Clinical Trial Optional)","10/2/2024","6/23/2026","U01","NIH","NINDS","None","PAR-25-055","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-055.html"
"Discovery and Development of Natural Products for Cancer Interception and Prevention (UG3/UH3 Clinical Trial Not Allowed)","10/1/2024","6/14/2025","UG3/UH3","NIH","NCI","None","RFA-CA-25-013","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-25-013.html"
"Blueprint Neurotherapeutics Network (BPN): Biologic-based Drug Discovery and Development for Disorders of the Nervous System (U44 Clinical Trial Optional)","10/1/2024","8/19/2027","U44","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIDA, NIDCR, NIEHS, NIMH, OBSSR","PAR-24-294","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-294.html"
"Blueprint Neurotherapeutics Network (BPN): Biologic-based Drug Discovery and Development for Disorders of the Nervous System (UG3/UH3 Clinical Trial Optional)","10/1/2024","8/19/2027","UG3/UH3","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIDA, NIDCR, NIEHS, NIMH, OBSSR","PAR-24-293","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-293.html"
"NIH Support for Conferences and Scientific Meetings (Parent R13 Clinical Trial Not Allowed)","10/1/2024","9/8/2027","R13","NIH","NIH","NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NIDA, NIDCR, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, ORWH","PA-25-080","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-25-080.html"
"Mitochondrial-associated Mechanisms of Neuropathological and Immunodeficient Aging in the Context of HIV and SUD (R21 Clinical Trials Not Allowed)","9/30/2024","3/11/2026","R21","NIH","NIDA","None","RFA-DA-26-010","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-010.html"
"Mitochondrial-associated Mechanisms of Neuropathological and Immunodeficient Aging in the Context of HIV and SUD (R01 Clinical Trials Not Allowed)","9/30/2024","3/11/2026","R01","NIH","NIDA","None","RFA-DA-26-009","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-009.html"
"BRAIN Initiative: Reagent Resources for Brain Cell Type-Specific Access to Broaden Distribution of Enabling Technologies for Neuroscience (U24 Clinical Trial Not Allowed)","9/26/2024","6/16/2027","U24","NIH","NIMH","NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NINDS, NCCIH, NEI","RFA-MH-26-120","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-MH-26-120.html"
"Blueprint Neurotherapeutics Network (BPN): Small Molecule Drug Discovery and Development of Disorders of the Nervous System (UG3/UH3 Clinical Trial Optional)","9/25/2024","8/19/2026","UG3/UH3","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIDA, NIDCR, NIMH","PAR-25-051","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-051.html"
"NICHD Resource Program Grants in Bioinformatics (P41 Clinical Trial Not Allowed)","9/24/2024","9/26/2027","P41","NIH","NICHD","None","PAR-24-301","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-301.html"
"BRAIN Initiative: New Technologies and Novel Approaches for Recording and Modulation in the Nervous System (R01 Clinical Trial Not Allowed)","9/24/2024","1/21/2026","R01","NIH","NINDS","NCCIH, NIMH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD","RFA-NS-25-018","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-018.html"
"BRAIN Initiative: Optimization of Instrumentation and Device Technologies for Recording and Modulation in the Nervous System (U01 Clinical Trials Not Allowed)","9/24/2024","1/21/2026","U01","NIH","NINDS","NCCIH, NEI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIMH","RFA-NS-25-017","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-017.html"
"Mechanism for Time-Sensitive Substance Use Research (R21 Clinical Trial Optional)","9/20/2024","9/10/2027","R21","NIH","NIDA","None","PAR-24-298","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-298.html"
"HEAL Initiative: Studies to Enable Analgesic Discovery (R61/R33 - Clinical Trial Not Allowed)","9/18/2024","1/16/2027","R61/R33","NIH","NINDS","NCCIH, NCI, NEI, NIA, NIAAA, NIAMS, NICHD, NIDCR, NIDDK","RFA-NS-25-023","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-NS-25-023.html"
"Imaging - Science Track Award for Research Transition (I/START) (R03 Clinical Trial Optional)","9/17/2024","1/8/2028","R03","NIH","NIDA","None","PAR-24-297","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-297.html"
"Exploratory Studies to Investigate Mechanisms of HIV infection, Replication, Latency, and/or Pathogenesis in the Context of Substance Use Disorders (R01 Clinical Trial Not Allowed)","9/9/2024","8/15/2025","R01","NIH","NIDA","None","RFA-DA-25-073","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-073.html"
"Mechanisms that Impact Cancer Risk after Bariatric Surgery (R21 Clinical Trial Not Allowed)","9/5/2024","1/8/2028","R21","NIH","NCI","None","PAR-25-044","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-25-044.html"
"Mechanisms that Impact Cancer Risk after Bariatric Surgery (R01 Clinical Trial Optional)","9/5/2024","1/8/2028","R01","NIH","NCI","None","PAR-25-043","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-043.html"
"Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T34)","9/3/2024","1/26/2027","UE5/T34","NIH","NIGMS","None","PAR-24-236","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-236.html"
"Tribal Undergraduate to Graduate Research Training and Leadership Experiences (TURTLE) Program (UE5/T32)","9/3/2024","1/26/2027","UE5/T32","NIH","NIGMS","None","PAR-24-235","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-235.html"
"Clinical and Translational Science Award (UM1 Clinical Trial Optional)","9/3/2024","9/29/2027","UM1","NIH","NCATS","None","PAR-24-272","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-272.html"
"NLM Information Resource Grants to Reduce Health Disparities and Promote Health for All (G08 Clinical Trial Not Allowed)","8/28/2024","5/26/2026","G08","NIH","NLM","ORWH","PAR-24-281","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-281.html"
"Advancing Healthcare for Older Adults from Populations that Experience Health Disparities (R01 - Clinical Trial Optional)","8/27/2024","1/8/2028","R01","NIH","NIMHD","NINR, ODP, NCI, NIA","PAR-24-273","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-273.html"
"Research Resource for Human Organs and Tissues (U42 Clinical Trial Not Allowed)","8/26/2024","9/26/2025","U42","NIH","ORIP","NEI, NIAID, NIAMS, NIDDK","PAR-24-258","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-258.html"
"Microglial Pathophysiology in Comorbid Substance Use Disorder (SUD) and HIV (R61/R33 Clinical Trial Not Allowed)","8/23/2024","8/15/2025","R61/R33","NIH","NIDA","None","RFA-DA-25-063","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-063.html"
"NCI Research Specialist (Clinician Scientist) Award (R50 Clinical Trial Not Allowed)","8/22/2024","11/5/2025","R50","NIH","NCI","None","PAR-24-274","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-274.html"
"Single Cell Opioid Responses in the Context of HIV (SCORCH) Program:  Data Mining and Functional Validation (R01 Clinical Trial Not Allowed)","8/14/2024","3/20/2026","R01","NIH","NIDA","None","RFA-DA-26-001","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-001.html"
"Clinical Trials Addressing Unmet Needs of Rare Neurodegenerative Diseases (R01) Clinical Trials Required","8/14/2024","10/24/2025","R01","FDA","FDA","None","RFA-FD-25-001","RFA","Required","https://grants.nih.gov/grants/guide/rfa-files/RFA-FD-25-001.html"
"Single Cell Opioid Responses in the Context of HIV (SCORCH) Program: Data Mining and Functional Validation (R21 Clinical Trial Not Allowed)","8/14/2024","3/20/2026","R21","NIH","NIDA","None","RFA-DA-26-002","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-26-002.html"
"NIDA Animal Genomics Program (U01  Clinical Trial Not Allowed)","8/13/2024","2/12/2027","U01","NIH","NIDA","None","PAR-24-269","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-269.html"
"Tribal Institutional Review Board Establishment and Enhancement (TIRBEE) (R24 - Clinical Trial Not Allowed)","8/12/2024","1/28/2027","R24","NIH","NIGMS","None","PAR-24-260","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-260.html"
"Functional Validation and/or Characterization of Genes or Variants Implicated in Substance Use Disorders (R21/R33 Clinical Trial Not Allowed)","8/6/2024","7/29/2025","R21/R33","NIH","NIDA","None","PAR-24-267","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-267.html"
"Modern Equipment for Shared-use Biomedical Research Facilities: Advancing Research-Related Operations (S15 Clinical Trial Not Allowed)","8/2/2024","9/26/2026","S15","NIH","ORIP","NIGMS","PAR-24-259","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-259.html"
"High Priority HIV and Substance Use Research (R01 Clinical Trial Optional)","8/2/2024","2/12/2027","R01","NIH","NIDA","None","RFA-DA-25-024","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-DA-25-024.html"
"Using Innovative Digital Healthcare Solutions to Improve Quality at the Point of Care (R21/R33 - Clinical Trial Optional)","7/19/2024","8/1/2026","R21/R33","AHRQ","AHRQ","None","PA-24-266","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-24-266.html"
"Innovative Programs to Enhance Research Training (IPERT) (R25 Independent Clinical Trial Not Allowed)","7/18/2024","10/15/2026","R25","NIH","NIGMS","None","PAR-24-252","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-252.html"
"NIH Research Software Engineer (RSE) Award (R50 Clinical Trials Not Allowed)","7/17/2024","12/5/2026","R50","NIH","OD","NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDA, NIDCR, NIDDK, NIEHS, NIMH, NIMHD, NINDS, NLM","RFA-OD-24-011","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-24-011.html"
"Examining the Impact of Artificial Intelligence (AI) on Healthcare Safety (R18)","7/16/2024","5/26/2027","R18","AHRQ","AHRQ","None","PA-24-261","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-24-261.html"
"NHLBI Career Transition Award for Intramural Postdoctoral Fellows and Research Trainees (K22 Independent Clinical Trial Not Allowed)","7/15/2024","7/13/2027","K22","NIH","NHLBI","None","PAR-24-209","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-209.html"
"NHLBI Career Transition Award for Intramural Postdoctoral Fellows and Research Trainees (K22 Clinical Trial Required)","7/15/2024","7/13/2027","K22","NIH","NHLBI","None","PAR-24-211","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-211.html"
"Device Based Treatments for Substance Use Disorders (UG3/UH3 Clinical Trial Optional)","7/12/2024","8/14/2026","UG3/UH3","NIH","NIDA","None","PAR-25-023","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-25-023.html"
"Change of Recipient Organization (Type 7 Parent Clinical Trial Optional)","7/11/2024","7/13/2027","Type 7","NIH","NIH","NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ODSS, ORIP, RM","PA-24-254","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-24-254.html"
"Successor-in-Interest (Type 6 Parent Clinical Trial Optional)","7/11/2024","7/18/2027","Type 6","NIH","NIH","NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ODSS, ORIP, RM","PA-24-253","PA","Optional","https://grants.nih.gov/grants/guide/pa-files/PA-24-253.html"
"Limited Competition: Building Partnerships and Broadening Perspectives to Advance Ethical, Legal, and Social Implications (ELSI) Research (BBAER) Program (UM1), Clinical Trial Optional","7/10/2024","8/3/2026","UM1","NIH","NHGRI","None","RFA-HG-24-026","RFA","Optional","https://grants.nih.gov/grants/guide/rfa-files/RFA-HG-24-026.html"
"National Cancer Institute Youth Enjoy Science Research Education Program (R25 Clinical Trial Not Allowed)","7/9/2024","9/29/2026","R25","NIH","NCI","None","RFA-CA-24-026","RFA","Not_Allowed","https://grants.nih.gov/grants/guide/rfa-files/RFA-CA-24-026.html"
"PHS 2024-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Required)","7/3/2024","9/6/2025","R41/R42","NIH","NIH","ORWH, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIEHS, NIMH, NIMHD, NINR, NLM","PA-24-248","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-24-248.html"
"PHS 2024-2 Omnibus Solicitation of the NIH for Small Business Technology Transfer Grant Applications (Parent STTR [R41/R42] Clinical Trial Not Allowed)","7/3/2024","9/6/2025","R41/R42","NIH","NIH","NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, ORWH","PA-24-247","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-24-247.html"
"PHS 2024-2 Omnibus Solicitation of the NIH and CDC for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Required)","7/3/2024","9/6/2025","R43/R44","NIH","NIH","NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIBIB, NICHD, NIDA, NIDCD, NIDDK, NIEHS, NIMH, NIMHD, NINR, NLM, ORWH, NCEH, NCIPC","PA-24-246","PA","Required","https://grants.nih.gov/grants/guide/pa-files/PA-24-246.html"
"PHS 2024-2 Omnibus Solicitation of the NIH, CDC and FDA for Small Business Innovation Research Grant Applications (Parent SBIR [R43/R44] Clinical Trial Not Allowed)","7/3/2024","9/6/2025","R43/R44","NIH","NIH","NCATS, NCCIH, NCI, NEI, NHGRI, NHLBI, NIA, NIAAA, NIAID, NIAMS, NIBIB, NICHD, NIDA, NIDCD, NIDCR, NIDDK, NIEHS, NIGMS, NIMH, NIMHD, NINDS, NINR, NLM, ORIP, ORWH, NCEH, NCIPC","PA-24-245","PA","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PA-24-245.html"
"Standardizing Data and Metadata from Wearable Devices (R01 Clinical Trial Not Allowed)","7/2/2024","6/11/2026","R01","NIH","NIMH","None","PAR-24-250","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-250.html"
"NIH HEAL Initiative PainCare Clinician Training Program (PCTP): Mentored Patient-Oriented Research Career Development award (K23 - Clinical Trial Required)","6/28/2024","7/13/2027","K23","NIH","NINDS","NCCIH, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDDK","PAR-24-220","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-220.html"
"NIH HEAL Initiative PainCare Clinician Training Program (PCTP): Mentored Clinical Scientist Development Awards (K08 - Clinical Trials Not Allowed)","6/28/2024","7/13/2027","K08","NIH","NINDS","NCCIH, NCI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDCR","PAR-24-219","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-219.html"
"NIH HEAL Initiative PainCare Clinician Training Program (PCTP): Mentored Clinical Scientist Development Awards (K08 - Basic Experimental Studies with Humans (BESH) Required)","6/28/2024","7/13/2027","K08","NIH","NINDS","NCCIH, NCI, NIA, NIAAA, NIAMS, NICHD","PAR-24-218","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-218.html"
"NIMH Research Education Mentoring Program for HIV Researchers (R25 Clinical Trial Not Allowed)","6/27/2024","9/8/2026","R25","NIH","NIMH","None","PAR-24-233","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-233.html"
"NIH HEAL Initiative PainCare Clinician Training Program (PCTP): Mentored Clinical Scientist Development Awards (K08 - Clinical Trials Required)","6/27/2024","7/13/2027","K08","NIH","NINDS","NCCIH, NCI, NIA, NIAAA, NIAMS, NIBIB, NICHD, NIDDK","PAR-24-217","PAR","Required","https://grants.nih.gov/grants/guide/pa-files/PAR-24-217.html"
"NINDS Alzheimers Disease-Related Dementias (ADRD) Advanced Postdoctoral Career Transition Award (K99/R00 Independent Clinical Trial Not Allowed)","6/24/2024","7/13/2027","K99/R00","NIH","NINDS","NIA","PAR-24-213","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-213.html"
"NINDS Renewal Awards of SBIR Phase II Grants (Phase IIB) for Pre-Clinical Research (R44 Clinical Trial Not Allowed)","6/21/2024","4/6/2027","R44","NIH","NINDS","None","PAR-24-222","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-222.html"
"Animal and Veterinary Innovation Centers","6/20/2024","9/30/2028","U18","FDA","FDA","None","PAR-24-251","PAR","Not_Allowed","https://grants.nih.gov/grants/guide/pa-files/PAR-24-251.html"
"NINDS Renewal Awards of SBIR Phase II Grants (Phase IIB) for Clinical Trials and Clinical Research (R44 Clinical Trial Optional)","6/20/2024","4/6/2027","R44","NIH","NINDS","None","PAR-24-221","PAR","Optional","https://grants.nih.gov/grants/guide/pa-files/PAR-24-221.html"
